metric,value,notes
selected_candidate,14,"Same candidate selected in all folds"
learning_rate,0.1,
max_depth,4,
num_leaves,15,
min_data_in_leaf,500,
feature_fraction,0.6,
bagging_fraction,0.6,
lambda_l1,0.1,
lambda_l2,10,
boundary_flag,true,"Winner sits on multiple search boundaries"
top_feature_1,lti_gr1a,"Mean normalized gain about 0.579"
top_feature_2,rd5_at,"Mean normalized gain about 0.257"
pooled_long_beta,1.18985,
pooled_short_beta,1.34433,
pooled_long_market_equity,5511,
pooled_short_market_equity,5058,
pooled_long_dollar_volume_m,37.37,
pooled_short_dollar_volume_m,50.63,
max_sector_net,0.35,
